"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","mintue","player"
"3282","Golden State Warriors","11/23/16",2016,3,7,49,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Lakers",-148,223,29,"thompson"
"3283","Golden State Warriors","10/30/16",2016,2,0,49,"shot_no","Jump Shot","2PT Field Goal",4,"Phoenix Suns",-38,21,24,"thompson"
"3284","Golden State Warriors","10/30/16",2016,1,6,14,"shot_no","Jump Shot","3PT Field Goal",26,"Phoenix Suns",236,129,6,"thompson"
"3285","Golden State Warriors","10/30/16",2016,3,3,56,"shot_no","Jump Shot","3PT Field Goal",27,"Phoenix Suns",171,210,33,"thompson"
"3286","Golden State Warriors","10/30/16",2016,1,5,2,"shot_no","Jump Shot","2PT Field Goal",19,"Phoenix Suns",-179,85,7,"thompson"
"3287","Golden State Warriors","10/30/16",2016,1,10,51,"shot_no","Jump Shot","3PT Field Goal",23,"Phoenix Suns",236,-26,2,"thompson"
"3288","Golden State Warriors","10/30/16",2016,3,11,46,"shot_yes","Jump Shot","2PT Field Goal",18,"Phoenix Suns",46,180,25,"thompson"
"3289","Golden State Warriors","10/30/16",2016,4,4,14,"shot_no","Jump Shot","3PT Field Goal",26,"Phoenix Suns",233,124,44,"thompson"
"3290","Golden State Warriors","10/30/16",2016,4,0,53,"shot_no","Jump Shot","3PT Field Goal",23,"Phoenix Suns",238,-16,48,"thompson"
"3291","Golden State Warriors","11/7/16",2016,4,4,17,"shot_no","Jump Shot","2PT Field Goal",20,"New Orleans Pelicans",105,174,44,"thompson"
"3292","Golden State Warriors","11/7/16",2016,1,8,50,"shot_yes","Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",79,183,4,"thompson"
"3293","Golden State Warriors","11/7/16",2016,1,10,5,"shot_no","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",-156,208,2,"thompson"
"3294","Golden State Warriors","11/7/16",2016,1,5,35,"shot_no","Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",112,223,7,"thompson"
"3295","Golden State Warriors","11/7/16",2016,1,4,55,"shot_yes","Jump Shot","2PT Field Goal",16,"New Orleans Pelicans",-160,21,8,"thompson"
"3296","Golden State Warriors","11/7/16",2016,2,5,34,"shot_yes","Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",-240,-6,19,"thompson"
"3297","Golden State Warriors","11/7/16",2016,2,4,45,"shot_no","Jump Shot","3PT Field Goal",23,"New Orleans Pelicans",233,11,20,"thompson"
"3298","Golden State Warriors","11/7/16",2016,4,7,11,"shot_no","Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",146,134,41,"thompson"
"3299","Golden State Warriors","11/7/16",2016,2,7,11,"shot_no","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",92,247,17,"thompson"
"3300","Golden State Warriors","12/10/16",2016,1,3,42,"shot_no","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",232,-26,9,"thompson"
"3301","Golden State Warriors","3/20/17",2016,3,4,51,"shot_yes","Jump Shot","3PT Field Goal",23,"Oklahoma City Thunder",-227,65,32,"thompson"
"3302","Golden State Warriors","3/20/17",2016,2,6,45,"shot_yes","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",79,239,18,"thompson"
